0.039,0.1001,0.3183,0.9365,0,0,0,0,0,0,0,0,0,0,0,0,0,
0.089,0.1001,0.3183,0.9365,0.1429,0.0496,0.2154,0,0,0,0,0,0,0,47.63969314,-122.12273972,0.89999998,
0.09,0.1034,0.3437,0.9663,0.1429,0.0496,0.2154,0,0,0,0,0,0,0,47.63969314,-122.12273972,0.89999998,
0.104,0.1034,0.3437,0.9663,0.1429,0.0496,0.2154,0.2838,0.1733,0.0328,0,0,0,0,47.63969314,-122.12273972,0.89999998,
0.108,0.1034,0.3437,0.9663,0.1429,0.0496,0.2154,0.2838,0.1733,0.0328,0,333.3321,-19.8587,5.5137,47.63969314,-122.12273972,0.89999998,
0.118,0.1034,0.3437,0.9663,0.1429,0.0496,0.2154,0.2838,0.1733,0.0328,1009.7327,333.3321,-19.8587,5.5137,47.63969314,-122.12273972,0.89999998,
0.129,0.1034,0.3437,0.9663,0.1967,-0.0985,-0.8993,0.2838,0.1733,0.0328,1009.7327,333.3321,-19.8587,5.5137,47.63969314,-122.12273972,0.89999998,
0.149,0.1034,0.3437,0.9663,0.1967,-0.0985,-0.8993,0.2838,0.1733,0.0328,1009.7327,333.5283,-19.3998,4.9585,47.63969314,-122.12273972,0.89999998,
0.159,0.0479,0.3505,1.0005,0.1967,-0.0985,-0.8993,0.2838,0.1733,0.0328,1009.7327,333.5283,-19.3998,4.9585,47.63969314,-122.12273972,0.89999998,
0.159,0.0479,0.3505,1.0005,0.1967,-0.0985,-0.8993,0.2838,0.1733,0.0328,1009.7468,333.5283,-19.3998,4.9585,47.63969314,-122.12273972,0.89999998,
0.169,0.0479,0.3505,1.0005,0.1967,-0.0985,-0.8993,-0.2878,0.3471,-0.1579,1009.7468,333.5283,-19.3998,4.9585,47.63969314,-122.12273972,0.89999998,
0.169,0.0479,0.3505,1.0005,1.0037,-0.031,-0.8214,-0.2878,0.3471,-0.1579,1009.7468,333.5283,-19.3998,4.9585,47.63969314,-122.12273972,0.89999998,
0.188,0.0479,0.3505,1.0005,1.0037,-0.031,-0.8214,-0.2878,0.3471,-0.1579,1009.7468,333.33,-18.4339,3.5859,47.63969314,-122.12273972,0.89999998,
0.208,0.0479,0.3505,1.0005,1.2934,1.0144,-2.629,-0.2878,0.3471,-0.1579,1009.7468,333.33,-18.4339,3.5859,47.63969314,-122.12273972,0.89999998,
0.229,-0.0738,0.2627,1.1398,1.2934,1.0144,-2.629,-0.2878,0.3471,-0.1579,1009.7468,333.33,-18.4339,3.5859,47.63969314,-122.12273972,0.89999998,
0.229,-0.0738,0.2627,1.1398,1.2934,1.0144,-2.629,-0.2878,0.3471,-0.1579,1009.7468,332.7145,-17.617,2.6431,47.63969314,-122.12273972,0.89999998,
0.233,-0.0738,0.2627,1.1398,1.2934,1.0144,-2.629,-0.3558,0.4697,0.1001,1009.7468,332.7145,-17.617,2.6431,47.63969314,-122.12273972,0.89999998,
0.238,-0.0738,0.2627,1.1398,1.2934,1.0144,-2.629,-0.3558,0.4697,0.1001,1009.6461,332.7145,-17.617,2.6431,47.63969314,-122.12273972,0.89999998,
0.248,-0.0738,0.2627,1.1398,0.9349,0.9769,-2.1943,-0.3558,0.4697,0.1001,1009.6461,332.7145,-17.617,2.6431,47.63969314,-122.12273972,0.89999998,
0.268,-0.0738,0.2627,1.1398,0.9349,0.9769,-2.1943,-0.3558,0.4697,0.1001,1009.6461,332.2683,-16.971,2.5683,47.63969314,-122.12273972,0.89999998,
0.288,-0.0738,0.2627,1.1398,0.7955,1.3949,0.3488,-0.3558,0.4697,0.1001,1009.6461,332.2683,-16.971,2.5683,47.63969314,-122.12273972,0.89999998,
0.298,-0.0536,0.1727,1.0948,0.7955,1.3949,0.3488,-0.3558,0.4697,0.1001,1009.6461,332.2683,-16.971,2.5683,47.63969314,-122.12273972,0.89999998,
0.299,-0.0536,0.1727,1.0948,0.7955,1.3949,0.3488,-0.2516,0.194,0.1268,1009.6461,332.2683,-16.971,2.5683,47.63969314,-122.12273972,0.89999998,
0.308,-0.0536,0.1727,1.0948,0.7955,1.3949,0.3488,-0.2516,0.194,0.1268,1009.6461,331.8186,-16.3846,1.867,47.63969314,-122.12273972,0.89999998,
0.318,-0.0536,0.1727,1.0948,0.7955,1.3949,0.3488,-0.2516,0.194,0.1268,1009.7294,331.8186,-16.3846,1.867,47.63969314,-122.12273972,0.89999998,
0.328,-0.0536,0.1727,1.0948,1.2043,1.7588,1.1345,-0.2516,0.194,0.1268,1009.7294,331.8186,-16.3846,1.867,47.63969314,-122.12273972,0.89999998,
0.348,-0.0536,0.1727,1.0948,1.2043,1.7588,1.1345,-0.2516,0.194,0.1268,1009.7294,331.0871,-15.7153,1.1391,47.63969314,-122.12273972,0.89999998,
0.358,-0.0857,0.0846,0.873,1.2043,1.7588,1.1345,-0.2516,0.194,0.1268,1009.7294,331.0871,-15.7153,1.1391,47.63969314,-122.12273972,0.89999998,
0.358,-0.0857,0.0846,0.873,1.2043,1.7588,1.1345,-0.2516,0.194,0.1268,1009.5188,331.0871,-15.7153,1.1391,47.63969314,-122.12273972,0.89999998,
0.362,-0.0857,0.0846,0.873,1.2043,1.7588,1.1345,-0.2707,0.3292,0.2344,1009.5188,331.0871,-15.7153,1.1391,47.63969314,-122.12273972,0.89999998,
0.368,-0.0857,0.0846,0.873,0.6385,2.3758,-0.5278,-0.2707,0.3292,0.2344,1009.5188,331.0871,-15.7153,1.1391,47.63969314,-122.12273972,0.89999998,
